# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity
# Coated with Aluminum on 2022-08-04
# Opened the vacuum chamber on 2022-08-08
# Measured with Subaru Portable Spectrophotometer (SPS) on 2022-10-13 (70 days after)
# Measured three times at around the position 3
# Data between 950 nm and 1650 nm are also available (SPS-XWW).
# Contact: Hirofumi Okita (okita14@naoj.org)
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3
498	90.64 	90.95 	90.82 
496	90.70 	90.72 	91.10 
494	90.67 	90.87 	90.69 
492	90.80 	90.82 	90.79 
490	90.80 	90.73 	90.66 
488	90.75 	91.07 	91.08 
486	90.85 	90.86 	90.94 
484	90.62 	91.02 	90.89 
482	90.76 	91.17 	90.77 
480	90.90 	90.99 	90.86 
478	90.87 	91.03 	90.69 
476	90.69 	91.10 	90.83 
474	90.72 	91.16 	91.12 
472	90.74 	91.30 	90.95 
470	90.99 	91.02 	91.28 
468	90.92 	91.14 	91.02 
466	90.85 	91.20 	91.08 
464	90.55 	90.75 	90.73 
462	91.04 	91.02 	91.12 
460	90.99 	90.98 	90.96 
458	90.82 	90.81 	90.79 
456	90.64 	91.32 	91.02 
454	90.91 	91.10 	91.24 
452	90.64 	91.12 	91.39 
450	91.05 	91.06 	90.88 
448	91.04 	91.44 	91.19 
446	90.94 	90.95 	91.43 
444	90.66 	90.99 	91.25 
442	90.98 	90.76 	91.03 
440	90.60 	91.56 	91.26 
438	90.98 	90.95 	91.01 
436	91.14 	91.35 	91.32 
434	91.21 	91.29 	91.07 
432	90.85 	90.92 	90.94 
430	91.13 	90.83 	91.07 
428	90.86 	91.32 	91.32 
426	91.44 	90.90 	91.30 
424	90.75 	91.25 	91.02 
422	90.26 	91.61 	91.12 
420	90.99 	91.09 	91.38 
418	91.00 	91.37 	91.19 
416	90.69 	91.45 	91.61 
414	90.54 	90.50 	90.56 
412	91.09 	91.67 	91.41 
410	90.87 	91.57 	90.91 
408	91.48 	91.11 	90.80 
406	90.95 	91.42 	91.00 
404	90.70 	91.42 	90.63 
402	90.91 	91.36 	90.97 
400	90.71 	91.60 	92.65 
398	90.86 	91.73 	91.40 
396	91.11 	90.76 	91.22 
394	90.98 	91.15 	91.49 
392	91.71 	91.23 	91.78 
390	90.15 	91.64 	91.45 
388	90.95 	91.73 	91.57 
386	90.54 	92.11 	91.64 
384	90.65 	90.37 	91.36 
382	90.39 	90.54 	91.61 
380	91.76 	90.19 	91.99 


1650	96.74 	96.90 	96.76 
1640	96.77 	96.92 	96.78 
1630	96.78 	96.92 	96.78 
1620	96.77 	96.92 	96.80 
1610	96.78 	96.92 	96.80 
1600	96.77 	96.94 	96.81 
1590	96.77 	96.93 	96.81 
1580	96.78 	96.92 	96.78 
1570	96.77 	96.92 	96.79 
1560	96.74 	96.90 	96.78 
1550	96.75 	96.89 	96.77 
1540	96.73 	96.88 	96.76 
1530	96.72 	96.88 	96.76 
1520	96.72 	96.86 	96.75 
1510	96.70 	96.86 	96.73 
1500	96.68 	96.84 	96.72 
1490	96.67 	96.82 	96.71 
1480	96.65 	96.79 	96.68 
1470	96.63 	96.78 	96.66 
1460	96.61 	96.76 	96.66 
1450	96.60 	96.74 	96.63 
1440	96.56 	96.72 	96.62 
1430	96.55 	96.70 	96.60 
1420	96.53 	96.69 	96.58 
1410	96.51 	96.67 	96.56 
1400	96.49 	96.64 	96.54 
1390	96.47 	96.62 	96.52 
1380	96.46 	96.60 	96.50 
1370	96.43 	96.57 	96.48 
1360	96.40 	96.55 	96.45 
1350	96.39 	96.53 	96.43 
1340	96.36 	96.51 	96.40 
1330	96.33 	96.49 	96.38 
1320	96.30 	96.45 	96.35 
1310	96.27 	96.43 	96.32 
1300	96.24 	96.40 	96.30 
1290	96.21 	96.37 	96.26 
1280	96.18 	96.34 	96.23 
1270	96.15 	96.31 	96.19 
1260	96.12 	96.28 	96.16 
1250	96.08 	96.25 	96.12 
1240	96.04 	96.20 	96.08 
1230	96.01 	96.16 	96.04 
1220	95.95 	96.11 	95.99 
1210	95.91 	96.07 	95.96 
1200	95.84 	96.02 	95.90 
1190	95.80 	95.97 	95.85 
1180	95.76 	95.91 	95.79 
1170	95.69 	95.85 	95.73 
1160	95.62 	95.79 	95.68 
1150	95.56 	95.72 	95.60 
1140	95.48 	95.65 	95.54 
1130	95.41 	95.58 	95.46 
1120	95.32 	95.49 	95.36 
1110	95.22 	95.40 	95.28 
1100	95.13 	95.30 	95.19 
1090	95.01 	95.19 	95.06 
1080	94.90 	95.07 	94.96 
1070	94.78 	94.95 	94.82 
1060	94.62 	94.81 	94.69 
1050	94.49 	94.66 	94.55 
1040	94.32 	94.49 	94.39 
1030	94.15 	94.32 	94.20 
1020	93.95 	94.13 	93.98 
1010	93.72 	93.90 	93.79 
1000	93.47 	93.66 	93.55 
990	93.23 	93.40 	93.27 
980	92.92 	93.09 	92.99 
970	92.58 	92.76 	92.65 
960	92.23 	92.38 	92.27 
950	91.79 	91.97 	91.86 



